GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),TIMEPERIOD (CODE),TIMEPERIOD (DISPLAY),TIMEPERIOD (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2009,2009,,AFR,Africa,,TCD,2009,2009,Chad,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,,,,21.9 [21.0-22.9],21.90000,21.00000,22.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1981,1981,,AFR,Africa,,TCD,1981,1981,Chad,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,4.7 [3.7-5.7],4.70000,3.70000,5.70000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1982,1982,,AFR,Africa,,TCD,1982,1982,Chad,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,4.8 [3.8-5.7],4.80000,3.80000,5.70000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1983,1983,,AFR,Africa,,TCD,1983,1983,Chad,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,4.8 [3.9-5.6],4.80000,3.90000,5.60000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1984,1984,,AFR,Africa,,TCD,1984,1984,Chad,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,4.8 [3.9-5.6],4.80000,3.90000,5.60000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1998,1998,,AFR,Africa,,TCD,1998,1998,Chad,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.0 [4.4-5.7],5.00000,4.40000,5.70000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1999,1999,,AFR,Africa,,TCD,1999,1999,Chad,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.0 [4.4-5.7],5.00000,4.40000,5.70000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2000,2000,,AFR,Africa,,TCD,2000,2000,Chad,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.1 [4.4-5.7],5.10000,4.40000,5.70000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2001,2001,,AFR,Africa,,TCD,2001,2001,Chad,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,5.1 [4.4-5.7],5.10000,4.40000,5.70000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1980,1980,,AFR,Africa,,TCD,1980,1980,Chad,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.0 [4.0-6.0],5.00000,4.00000,6.00000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1981,1981,,AFR,Africa,,TCD,1981,1981,Chad,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.0 [4.1-6.0],5.00000,4.10000,6.00000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1982,1982,,AFR,Africa,,TCD,1982,1982,Chad,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.0 [4.2-5.9],5.00000,4.20000,5.90000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1983,1983,,AFR,Africa,,TCD,1983,1983,Chad,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.0 [4.2-5.8],5.00000,4.20000,5.80000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1996,1996,,AFR,Africa,,TCD,1996,1996,Chad,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.1 [4.5-5.7],5.10000,4.50000,5.70000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1997,1997,,AFR,Africa,,TCD,1997,1997,Chad,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.1 [4.5-5.7],5.10000,4.50000,5.70000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1998,1998,,AFR,Africa,,TCD,1998,1998,Chad,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.1 [4.5-5.7],5.10000,4.50000,5.70000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1999,1999,,AFR,Africa,,TCD,1999,1999,Chad,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,5.2 [4.5-5.8],5.20000,4.50000,5.80000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1985,1985,,AFR,Africa,,TCD,1985,1985,Chad,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,127.9 [120.6-135.2],127.90000,120.60000,135.20000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1986,1986,,AFR,Africa,,TCD,1986,1986,Chad,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,127.8 [120.7-135.1],127.80000,120.70000,135.10000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1987,1987,,AFR,Africa,,TCD,1987,1987,Chad,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,127.8 [120.8-134.8],127.80000,120.80000,134.80000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1988,1988,,AFR,Africa,,TCD,1988,1988,Chad,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,127.8 [120.7-134.7],127.80000,120.70000,134.70000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2002,2002,,AFR,Africa,,TCD,2002,2002,Chad,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,128.1 [121.9-134.3],128.10000,121.90000,134.30000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2003,2003,,AFR,Africa,,TCD,2003,2003,Chad,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,128.3 [122.2-134.2],128.30000,122.20000,134.20000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2004,2004,,AFR,Africa,,TCD,2004,2004,Chad,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,128.5 [122.5-134.4],128.50000,122.50000,134.40000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2005,2005,,AFR,Africa,,TCD,2005,2005,Chad,,AGE25-PLUS,25+ years,,MLE,Male,,,,,,,,128.7 [122.8-134.5],128.70000,122.80000,134.50000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1983,1983,,AFR,Africa,,TCD,1983,1983,Chad,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,120.8 [111.8-130.0],120.80000,111.80000,130.00000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1984,1984,,AFR,Africa,,TCD,1984,1984,Chad,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,121.0 [112.3-129.8],121.00000,112.30000,129.80000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1985,1985,,AFR,Africa,,TCD,1985,1985,Chad,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,121.2 [113.0-129.6],121.20000,113.00000,129.60000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1986,1986,,AFR,Africa,,TCD,1986,1986,Chad,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,121.5 [113.2-129.6],121.50000,113.20000,129.60000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1987,1987,,AFR,Africa,,TCD,1987,1987,Chad,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,121.7 [113.7-129.6],121.70000,113.70000,129.60000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2000,2000,,AFR,Africa,,TCD,2000,2000,Chad,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,123.7 [116.8-130.4],123.70000,116.80000,130.40000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2001,2001,,AFR,Africa,,TCD,2001,2001,Chad,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,123.8 [117.0-130.3],123.80000,117.00000,130.30000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2002,2002,,AFR,Africa,,TCD,2002,2002,Chad,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,123.9 [117.1-130.3],123.90000,117.10000,130.30000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2003,2003,,AFR,Africa,,TCD,2003,2003,Chad,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,,,,124.1 [117.4-130.5],124.10000,117.40000,130.50000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1976,1976,,AFR,Africa,,TCD,1976,1976,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,28.6 [16.6-43.0],28.60000,16.60000,43.00000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1983,1983,,AFR,Africa,,TCD,1983,1983,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,30.6 [21.2-40.8],30.60000,21.20000,40.80000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1991,1991,,AFR,Africa,,TCD,1991,1991,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,31.8 [23.3-40.9],31.80000,23.30000,40.90000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1998,1998,,AFR,Africa,,TCD,1998,1998,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,32.3 [24.4-41.0],32.30000,24.40000,41.00000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2000,2000,,AFR,Africa,,TCD,2000,2000,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,32.3 [24.6-40.7],32.30000,24.60000,40.70000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1977,1977,,AFR,Africa,,TCD,1977,1977,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,29.0 [17.5-42.5],29.00000,17.50000,42.50000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1979,1979,,AFR,Africa,,TCD,1979,1979,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,29.6 [19.1-41.9],29.60000,19.10000,41.90000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2012,2012,,AFR,Africa,,TCD,2012,2012,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,31.8 [23.0-41.0],31.80000,23.00000,41.00000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2013,2013,,AFR,Africa,,TCD,2013,2013,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,31.7 [22.4-41.6],31.70000,22.40000,41.60000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1980,1980,,AFR,Africa,,TCD,1980,1980,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,29.9 [19.8-41.6],29.90000,19.80000,41.60000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1987,1987,,AFR,Africa,,TCD,1987,1987,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,31.2 [22.5-40.7],31.20000,22.50000,40.70000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1988,1988,,AFR,Africa,,TCD,1988,1988,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,31.4 [22.7-40.7],31.40000,22.70000,40.70000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1993,1993,,AFR,Africa,,TCD,1993,1993,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,32.0 [23.7-41.1],32.00000,23.70000,41.10000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2001,2001,,AFR,Africa,,TCD,2001,2001,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,31.5 [24.3-39.1],31.50000,24.30000,39.10000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2002,2002,,AFR,Africa,,TCD,2002,2002,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,31.6 [24.4-39.2],31.60000,24.40000,39.20000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1980,1980,,AFR,Africa,,TCD,1980,1980,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,27.5 [18.4-38.2],27.50000,18.40000,38.20000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1981,1981,,AFR,Africa,,TCD,1981,1981,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,27.8 [18.9-38.1],27.80000,18.90000,38.10000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1991,1991,,AFR,Africa,,TCD,1991,1991,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,30.2 [22.4-38.7],30.20000,22.40000,38.70000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1982,1982,,AFR,Africa,,TCD,1982,1982,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,28.1 [19.5-38.0],28.10000,19.50000,38.00000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1983,1983,,AFR,Africa,,TCD,1983,1983,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,28.4 [20.0-37.9],28.40000,20.00000,37.90000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1988,1988,,AFR,Africa,,TCD,1988,1988,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,29.6 [21.8-38.1],29.60000,21.80000,38.10000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1997,1997,,AFR,Africa,,TCD,1997,1997,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,31.1 [23.7-39.1],31.10000,23.70000,39.10000,,,
BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2011,2011,,AFR,Africa,,TCD,2011,2011,Chad,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,,,,33.0 [25.2-41.6],33.00000,25.20000,41.60000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1983,1983,,AFR,Africa,,TCD,1983,1983,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,25.7 [17.3-35.0],25.70000,17.30000,35.00000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1984,1984,,AFR,Africa,,TCD,1984,1984,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,25.8 [17.6-35.0],25.80000,17.60000,35.00000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1991,1991,,AFR,Africa,,TCD,1991,1991,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,26.2 [18.8-34.7],26.20000,18.80000,34.70000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1993,1993,,AFR,Africa,,TCD,1993,1993,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,26.2 [18.9-34.6],26.20000,18.90000,34.60000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2015,2015,,AFR,Africa,,TCD,2015,2015,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,24.2 [15.4-34.1],24.20000,15.40000,34.10000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1975,1975,,AFR,Africa,,TCD,1975,1975,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,24.0 [12.8-38.0],24.00000,12.80000,38.00000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1985,1985,,AFR,Africa,,TCD,1985,1985,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,25.9 [17.8-34.8],25.90000,17.80000,34.80000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1986,1986,,AFR,Africa,,TCD,1986,1986,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,26.0 [18.1-34.6],26.00000,18.10000,34.60000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2001,2001,,AFR,Africa,,TCD,2001,2001,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,25.7 [19.0-33.1],25.70000,19.00000,33.10000,,,
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2005,2005,,AFR,Africa,,TCD,2005,2005,Chad,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,,,,25.2 [18.7-32.0],25.20000,18.70000,32.00000,,,
