GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),DHSMICSGEOREGION (CODE),DHSMICSGEOREGION (DISPLAY),DHSMICSGEOREGION (URL),WEALTHDECILE (CODE),WEALTHDECILE (DISPLAY),WEALTHDECILE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,TCD,Chad,,,,,,,,,,,,,,,,,TCDMICS201019,barh el gazal,,,,,16.4,16.37966,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,AFR,2014,2014,Africa,,TCD,Chad,,,,,,,,,,,,,,,,,TCDDHS201402,borkou/tibesti,,,,,16.6,16.59686,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,TCD,Chad,,,,,,,,,,,,,,,,,TCDMICS201010,mandoul,,,,,19.0,18.97717,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,TCD,Chad,,,,,,,,,,,,,,,,,TCDDHS200407,moyen-chari,,,,,20.0,20.04279,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,AFR,2014,2014,Africa,,TCD,Chad,,,,,,,,,,,,,,,,,TCDDHS201408,logone occidental,,,,,30.4,30.42625,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,TCD,Chad,,,,,,,,,,,URB,Urban,,,,,,,,,,,35.7,35.73793,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,TCD,Chad,,,,,,,,,,,URB,Urban,,,,,,,,,,,37.8,37.77311,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,TCD,Chad,,,,,,,,,,,,,,,,,TCDDHS200409,n'djamena,,,,,42.9,42.93172,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,AFR,2014,2014,Africa,,TCD,Chad,,,,,,,,,,,URB,Urban,,,,,,,,,,,43.1,43.10939,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AFR,1996,1996,Africa,,TCD,Chad,,,,,,,,,,,,,,,,,TCDDHS199615,n'djamena,,,,,43.8,43.80532,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,AFR,2014,2014,Africa,,TCD,Chad,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,45.9,45.88239,,,,,
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AFR,1996,1996,Africa,,TCD,Chad,,,,,,,,,,,,,,,,,TCDDHS199615,n'djamena,,,,,No data,,,,,,Not calculated.
cci2030,(see cci),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4489,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AFR,1996,1996,Africa,,TCD,Chad,,,,,,,,,,,,,,,,,TCDDHS199605,guera,,,,,No data,,,,,,Not calculated.
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AFR,1996,1996,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,32.4 [29.3-35.7],32.41612,29.27957,35.71896,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AFR,1996,1996,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,15.8 [13.3-18.7],15.83710,13.31186,18.73783,,,
carep,Children aged < 5 years with pneumonia symptoms taken to a health facility (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3330,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AFR,1996,1996,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,No data,,,,,,Not available
cpmowho,Contraceptive prevalence - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3334,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AFR,1996,1996,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,1.2 [0.9-1.6],1.21406,0.94264,1.56241,,,
fps,Demand for family planning satisfied - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3321,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AFR,1996,1996,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,29.0 [21.1-38.4],29.01403,21.14830,38.38128,,,
fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AFR,1996,1996,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,7.9 [4.2-14.3],7.87687,4.18297,14.34444,,,
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AFR,1996,1996,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,No data,,,,,,Not available
itnwm,Pregnant women sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3318,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AFR,1996,1996,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,No data,,,,,,Not available
sba,Births attended by skilled health personnel (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3343,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AFR,1996,1996,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,25.1 [21.9-28.5],25.05212,21.89217,28.50174,,,
tfr,Total fertility rate (births per woman),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3344,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AFR,1996,1996,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,No data,,,,,,Not available
vbcg,BCG immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3325,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AFR,1996,1996,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,48.8 [39.9-57.7],48.79893,39.94396,57.72993,,,
vdpt,DTP3 immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3335,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AFR,1996,1996,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,24.5 [18.6-31.6],24.50547,18.55628,31.62145,,,
vmsl,Measles immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3337,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AFR,1996,1996,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,22.2 [19.1-25.6],22.17700,19.10988,25.58073,,,
vpolio,Polio immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3339,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,AFR,1996,1996,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,18.4 [14.7-22.7],18.40260,14.74591,22.72439,,,
anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,47.1 [41.8-52.5],47.12010,41.77665,52.53038,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,18.9 [14.6-24.2],18.92584,14.58762,24.18884,,,
bfearly,Early initiation of breastfeeding (in the two years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,32.5 [29.3-35.8],32.49748,29.34095,35.82144,,,
cpmt,Contraceptive prevalence - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3333,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,7.4 [4.7-11.6],7.42641,4.69217,11.56070,,,
csection,Births by caesarean section (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3326,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,0.9 [0.4-1.7],0.87306,0.44521,1.70503,,,
fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,33.8 [29.3-38.5],33.76444,29.34778,38.48374,,,
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,109.1 [95.5-122.7],109.12737,95.52009,122.73466,,,
nmr,Neonatal mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4486,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,52.7 [41.0-64.4],52.70506,41.03176,64.37836,,,
ors,Children aged < 5 years with diarrhoea receiving oral rehydration salts (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4490,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,8.3 [4.1-15.8],8.25585,4.12475,15.84080,,,
ort,Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3331,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,21.0 [12.6-32.9],21.00058,12.60172,32.89059,,,
sba,Births attended by skilled health personnel (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3343,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,21.3 [17.6-25.5],21.26864,17.61009,25.45244,,,
sba5,Births attended by skilled health personnel (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3343,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,20.4 [17.2-24.1],20.44409,17.23591,24.07570,,,
u5mr,Under-five mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3345,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,232.2 [203.4-260.9],232.15654,203.43204,260.88104,,,
vdpt,DTP3 immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3335,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,20.4 [17.1-24.1],20.38441,17.08274,24.13843,,,
vfull,Full immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3317,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,11.6 [8.9-14.8],11.56462,8.94710,14.82324,,,
vita,Children aged 6-59 months who received vitamin A supplementation (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3332,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,34.3 [31.6-37.1],34.26497,31.56247,37.07351,,,
vzdpt,One-year-old children who have not received any doses of the DTP vaccine (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5799,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,60.1 [42.2-75.6],60.08797,42.24884,75.59921,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,22.4 [20.1-24.8],22.38921,20.10974,24.84670,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,No data,,,,,,Not available
carep,Children aged < 5 years with pneumonia symptoms taken to a health facility (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3330,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,No data,,,,,,Not available
cpmowho,Contraceptive prevalence - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3334,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,3.8 [2.6-5.6],3.81334,2.60106,5.55837,,,
csection,Births by caesarean section (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3326,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,1.1 [0.8-1.6],1.13740,0.82147,1.57290,,,
csection5,Births by caesarean section (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3326,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,No data,,,,,,Not available
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,No data,,,,,,Not available
itnwm,Pregnant women sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3318,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,No data,,,,,,Not available
ort,Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3331,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,No data,,,,,,Not available
sevwast5,Severe wasting prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5593,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,TCD,Chad,,YEARS00-01,0-1 years,,,,,,,,,,,,,,,,,,,,7.3 [6.3-8.3],7.25572,6.30600,8.33575,,,
vbcg,BCG immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3325,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,No data,,,,,,Not available
vmsl,Measles immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3337,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,No data,,,,,,Not available
vpolio,Polio immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3339,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,No data,,,,,,Not available
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,AFR,2014,2014,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,55.3 [52.8-57.8],55.28548,52.78435,57.76014,,,
bfearly,Early initiation of breastfeeding (in the two years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,AFR,2014,2014,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,18.8 [15.8-22.2],18.79793,15.77876,22.24223,,,
cpmowho,Contraceptive prevalence - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3334,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,AFR,2014,2014,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,5.4 [4.6-6.2],5.37154,4.64498,6.20436,,,
cpmt,Contraceptive prevalence - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3333,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,AFR,2014,2014,Africa,,TCD,Chad,,YEARS20-49,20-49 years,,,,,,,,,,,,,,,,,,,,6.0 [5.2-6.9],6.00190,5.23445,6.87371,,,
fps,Demand for family planning satisfied - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3321,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,AFR,2014,2014,Africa,,TCD,Chad,,YEARS15-19,15-19 years,,,,,,,,,,,,,,,,,,,,11.5 [7.2-17.7],11.45051,7.21554,17.69701,,,
