Solicitation Number,Marketing Agent,Date of Solicitation,Month of Solicitation,Mode of Solicitation,Made Purchase?,Purchase ($),Legacy Customer?
12189,Nguyen,Sep-25,Sep,Telephone,NO,,Not Legacy
23042,Sanchez,Dec-04,Dec,Meeting,NO,,Not Legacy
20471,Sanchez,Apr-26,Apr,email,NO,,Legacy
1130,Shalley,Aug-13,Aug,Meeting,NO,,Not Legacy
11440,Sanchez,Apr-28,Apr,email,NO,,Not Legacy
18318,Lydon,Jun-17,Jun,email,NO,,Not Legacy
23238,Sanchez,Apr-28,Apr,Meeting,NO,,Not Legacy
21852,Shalley,Apr-22,Apr,Telephone,NO,,Not Legacy
3566,Nguyen,Jan-08,Jan,Telephone,NO,,Legacy
10913,Lydon,Oct-18,Oct,Telephone,NO,,Not Legacy
17596,Shalley,Feb-13,Feb,email,NO,,Not Legacy
12190,Nguyen,Dec-17,Dec,email,NO,,Not Legacy
13461,Shalley,Oct-10,Oct,email,NO,,Not Legacy
15082,Shalley,Aug-03,Aug,email,NO,,Not Legacy
12564,Lydon,Dec-02,Dec,email,NO,,Not Legacy
15117,Lydon,Dec-27,Dec,email,NO,,Not Legacy
16268,Sanchez,Aug-06,Aug,Meeting,NO,,Not Legacy
24968,Shalley,May-05,May,email,NO,,Legacy
1291,Lydon,Jul-24,Jul,email,NO,,Not Legacy
23554,Sanchez,Jul-06,Jul,Telephone,NO,,Not Legacy
12704,Sanchez,May-09,May,Meeting,NO,,Not Legacy
21875,Nguyen,Feb-04,Feb,Telephone,NO,,Not Legacy
15641,Lydon,Jun-30,Jun,Meeting,YES,"$3,400",Not Legacy
3782,Shalley,Apr-04,Apr,Meeting,YES,"$7,000",Not Legacy
19031,Lydon,Nov-29,Nov,Meeting,NO,,Not Legacy
18977,Sanchez,Jan-14,Jan,email,NO,,Not Legacy
21133,Nguyen,Oct-09,Oct,Telephone,NO,,Not Legacy
6539,Nguyen,May-06,May,email,NO,,Not Legacy
16678,Sanchez,Apr-20,Apr,Telephone,NO,,Not Legacy
10138,Lydon,Feb-07,Feb,Telephone,YES,"$9,600",Not Legacy
15497,Nguyen,Sep-21,Sep,email,NO,,Legacy
11224,Nguyen,Feb-03,Feb,Meeting,YES,"$8,600",Not Legacy
174,Nguyen,Jan-16,Jan,Telephone,NO,,Not Legacy
23589,Sanchez,Mar-05,Mar,email,NO,,Not Legacy
9746,Sanchez,Sep-19,Sep,email,NO,,Not Legacy
652,Nguyen,Oct-16,Oct,Meeting,NO,,Not Legacy
17556,Sanchez,Mar-23,Mar,Telephone,NO,,Not Legacy
23350,Shalley,Nov-18,Nov,Telephone,NO,,Not Legacy
22203,Shalley,Dec-23,Dec,email,NO,,Not Legacy
3166,Lydon,Mar-02,Mar,Telephone,YES,"$9,600",Legacy
10513,Sanchez,Aug-19,Aug,email,NO,,Not Legacy
9336,Shalley,Jan-14,Jan,Meeting,NO,,Not Legacy
19993,Shalley,May-11,May,email,NO,,Not Legacy
4945,Shalley,Nov-19,Nov,Meeting,YES,"$7,800",Not Legacy
18841,Lydon,Sep-25,Sep,email,NO,,Not Legacy
10102,Lydon,Mar-07,Mar,Meeting,NO,,Not Legacy
7144,Lydon,Feb-25,Feb,Meeting,NO,,Not Legacy
23340,Nguyen,Oct-14,Oct,Meeting,NO,,Not Legacy
14742,Shalley,Jun-23,Jun,Meeting,YES,"$4,600",Not Legacy
20743,Lydon,Mar-19,Mar,Meeting,NO,,Legacy
4651,Sanchez,Sep-15,Sep,email,NO,,Not Legacy
13495,Nguyen,Oct-10,Oct,Telephone,YES,"$6,000",Not Legacy
4940,Nguyen,Oct-31,Oct,email,NO,,Not Legacy
262,Nguyen,Jan-28,Jan,Meeting,NO,,Not Legacy
11315,Shalley,Jun-14,Jun,Meeting,NO,,Not Legacy
2423,Shalley,Oct-28,Oct,email,NO,,Not Legacy
8131,Nguyen,Jan-26,Jan,Meeting,NO,,Not Legacy
18817,Lydon,Jul-19,Jul,email,NO,,Not Legacy
6383,Sanchez,Jun-01,Jun,email,NO,,Not Legacy
14533,Shalley,Nov-29,Nov,Meeting,YES,"$5,000",Not Legacy
19918,Shalley,Sep-26,Sep,Meeting,NO,,Not Legacy
2092,Nguyen,Feb-14,Feb,Meeting,YES,"$4,800",Legacy
6689,Shalley,Jan-08,Jan,Meeting,YES,"$2,600",Not Legacy
1132,Shalley,Nov-02,Nov,Telephone,NO,,Not Legacy
20057,Shalley,Jan-01,Jan,email,NO,,Not Legacy
23622,Lydon,Jun-30,Jun,email,NO,,Legacy
9799,Nguyen,Dec-21,Dec,Meeting,NO,,Not Legacy
13710,Lydon,Apr-13,Apr,Meeting,YES,"$2,400",Not Legacy
13278,Nguyen,Jun-27,Jun,Telephone,YES,"$6,000",Not Legacy
22825,Lydon,Jul-25,Jul,Meeting,NO,,Not Legacy
15773,Sanchez,Mar-26,Mar,email,NO,,Not Legacy
22891,Nguyen,Jun-17,Jun,Meeting,YES,$200,Not Legacy
20321,Lydon,Jun-01,Jun,Telephone,NO,,Not Legacy
2332,Lydon,Oct-07,Oct,Meeting,YES,"$4,200",Not Legacy
20195,Shalley,May-16,May,Meeting,NO,,Not Legacy
13295,Sanchez,Jan-06,Jan,Meeting,NO,,Not Legacy
3302,Shalley,Jun-28,Jun,Meeting,NO,,Not Legacy
18035,Nguyen,Mar-02,Mar,Meeting,NO,,Not Legacy
17950,Lydon,Dec-03,Dec,Meeting,NO,,Legacy
9233,Lydon,May-23,May,Telephone,NO,,Not Legacy
24897,Sanchez,Sep-09,Sep,email,NO,,Not Legacy
10090,Shalley,Jun-04,Jun,Telephone,NO,,Not Legacy
11141,Sanchez,Jan-05,Jan,Meeting,NO,,Not Legacy
13120,Lydon,Jun-09,Jun,Telephone,YES,"$8,800",Not Legacy
8034,Shalley,Feb-14,Feb,Meeting,NO,,Not Legacy
18065,Sanchez,Jan-28,Jan,Meeting,NO,,Not Legacy
21801,Nguyen,Feb-09,Feb,Meeting,NO,,Not Legacy
19416,Lydon,Aug-09,Aug,Meeting,NO,,Not Legacy
523,Shalley,Feb-06,Feb,email,NO,,Not Legacy
6585,Shalley,Aug-06,Aug,email,NO,,Not Legacy
5803,Shalley,Aug-08,Aug,email,NO,,Not Legacy
9239,Sanchez,Feb-06,Feb,email,NO,,Not Legacy
12628,Lydon,Oct-13,Oct,email,NO,,Not Legacy
21832,Sanchez,Mar-11,Mar,email,NO,,Not Legacy
22555,Sanchez,Feb-16,Feb,Meeting,NO,,Legacy
54,Lydon,Mar-01,Mar,Meeting,NO,,Not Legacy
22441,Nguyen,Feb-04,Feb,Meeting,NO,,Not Legacy
24654,Nguyen,Jan-09,Jan,Meeting,YES,$800,Not Legacy
17465,Sanchez,May-20,May,Meeting,YES,"$3,000",Not Legacy
23469,Sanchez,Apr-03,Apr,email,NO,,Not Legacy
7939,Nguyen,Jul-17,Jul,Meeting,YES,"$2,800",Not Legacy
7687,Nguyen,Feb-17,Feb,email,NO,,Not Legacy
1749,Lydon,Jul-01,Jul,Meeting,YES,"$2,600",Not Legacy
6943,Sanchez,Mar-13,Mar,Telephone,YES,"$1,000",Not Legacy
6717,Shalley,Aug-12,Aug,email,NO,,Not Legacy
12350,Lydon,Nov-29,Nov,Telephone,NO,,Not Legacy
14942,Sanchez,Oct-16,Oct,Telephone,NO,,Not Legacy
24302,Sanchez,Aug-25,Aug,Meeting,NO,,Not Legacy
22649,Sanchez,Feb-03,Feb,Meeting,NO,,Not Legacy
10880,Lydon,Nov-14,Nov,Meeting,NO,,Not Legacy
223,Shalley,Apr-24,Apr,Meeting,YES,"$3,400",Not Legacy
3646,Sanchez,Jan-24,Jan,email,NO,,Not Legacy
889,Sanchez,Jul-29,Jul,Meeting,YES,"$6,800",Not Legacy
14589,Lydon,Nov-02,Nov,Meeting,YES,$800,Not Legacy
5803,Shalley,Apr-14,Apr,Telephone,NO,,Not Legacy
22293,Lydon,Apr-29,Apr,Telephone,YES,"$7,400",Legacy
17956,Nguyen,May-27,May,Meeting,YES,$200,Not Legacy
17501,Nguyen,Apr-30,Apr,email,NO,,Not Legacy
11859,Nguyen,Mar-28,Mar,email,NO,,Not Legacy
3994,Sanchez,Nov-23,Nov,Meeting,NO,,Not Legacy
9350,Shalley,Nov-26,Nov,Telephone,NO,,Not Legacy
4534,Lydon,Mar-23,Mar,Meeting,NO,,Not Legacy
12900,Sanchez,Sep-19,Sep,Telephone,NO,,Not Legacy
7710,Shalley,Jul-03,Jul,email,NO,,Not Legacy
6674,Sanchez,Oct-14,Oct,email,NO,,Legacy
10587,Shalley,Oct-19,Oct,Meeting,NO,,Not Legacy
11632,Sanchez,Dec-16,Dec,email,NO,,Not Legacy
10666,Nguyen,Dec-19,Dec,Telephone,NO,,Not Legacy
21909,Nguyen,May-29,May,email,NO,,Not Legacy
9570,Nguyen,Oct-26,Oct,Meeting,NO,,Not Legacy
22656,Shalley,Mar-06,Mar,Meeting,YES,"$1,800",Not Legacy
17252,Sanchez,Aug-20,Aug,Meeting,NO,,Not Legacy
5646,Sanchez,May-08,May,email,NO,,Not Legacy
21762,Lydon,May-29,May,email,NO,,Not Legacy
18858,Nguyen,Jun-22,Jun,email,NO,,Not Legacy
3391,Nguyen,Nov-13,Nov,email,NO,,Not Legacy
19842,Nguyen,Jan-29,Jan,Meeting,YES,"$7,600",Not Legacy
413,Sanchez,Dec-06,Dec,Meeting,NO,,Not Legacy
24281,Nguyen,Aug-13,Aug,Telephone,NO,,Not Legacy
9010,Nguyen,Dec-14,Dec,Meeting,NO,,Not Legacy
11437,Lydon,Jun-18,Jun,email,NO,,Not Legacy
15958,Sanchez,Jan-10,Jan,email,NO,,Legacy
19940,Shalley,Feb-16,Feb,Meeting,YES,"$3,200",Not Legacy
5353,Nguyen,Apr-20,Apr,Telephone,NO,,Not Legacy
11325,Lydon,Jan-24,Jan,Telephone,NO,,Not Legacy
10282,Lydon,Jul-31,Jul,email,NO,,Not Legacy
7938,Lydon,Jun-05,Jun,Telephone,YES,$400,Not Legacy
646,Nguyen,Sep-17,Sep,email,YES,"$4,400",Not Legacy
19570,Sanchez,Dec-06,Dec,email,NO,,Not Legacy
355,Lydon,Feb-03,Feb,Telephone,NO,,Not Legacy
23218,Sanchez,Aug-17,Aug,Meeting,NO,,Not Legacy
2644,Nguyen,Sep-03,Sep,email,NO,,Not Legacy
14860,Sanchez,May-03,May,Telephone,NO,,Not Legacy
22069,Nguyen,May-31,May,email,NO,,Not Legacy
23011,Shalley,Apr-22,Apr,email,NO,,Not Legacy
3894,Sanchez,Aug-05,Aug,email,NO,,Not Legacy
9966,Shalley,May-30,May,Telephone,NO,,Not Legacy
19538,Nguyen,Mar-06,Mar,Meeting,NO,,Not Legacy
18290,Nguyen,Sep-14,Sep,Telephone,NO,,Legacy
10907,Lydon,Feb-02,Feb,email,NO,,Not Legacy
7624,Shalley,Dec-12,Dec,email,NO,,Not Legacy
17601,Lydon,Dec-27,Dec,Meeting,NO,,Not Legacy
23560,Shalley,Apr-24,Apr,Meeting,NO,,Not Legacy
9332,Sanchez,Mar-23,Mar,email,YES,"$1,800",Not Legacy
6512,Lydon,Mar-19,Mar,email,NO,,Not Legacy
21136,Sanchez,Feb-10,Feb,Telephone,NO,,Not Legacy
4986,Sanchez,Mar-30,Mar,Meeting,NO,,Not Legacy
14059,Sanchez,Dec-25,Dec,email,NO,,Not Legacy
10663,Shalley,May-18,May,email,NO,,Not Legacy
5913,Shalley,Aug-24,Aug,email,NO,,Not Legacy
12011,Sanchez,Jun-11,Jun,Meeting,YES,"$8,800",Legacy
10334,Sanchez,Feb-13,Feb,Meeting,NO,,Not Legacy
17249,Lydon,Jun-15,Jun,Meeting,NO,,Not Legacy
3859,Sanchez,Dec-04,Dec,Telephone,YES,"$8,400",Not Legacy
9635,Shalley,Jul-29,Jul,Meeting,YES,"$2,200",Not Legacy
12051,Nguyen,Jun-22,Jun,email,NO,,Not Legacy
3475,Lydon,Jan-17,Jan,Meeting,NO,,Not Legacy
14076,Lydon,Jun-12,Jun,email,NO,,Not Legacy
18904,Sanchez,Mar-14,Mar,Meeting,YES,"$6,000",Not Legacy
10498,Shalley,Mar-31,Mar,Telephone,NO,,Not Legacy
10716,Nguyen,Jul-30,Jul,email,NO,,Not Legacy
18395,Lydon,Aug-02,Aug,Meeting,YES,"$7,400",Not Legacy
17385,Sanchez,May-29,May,email,NO,,Legacy
6145,Nguyen,Jun-24,Jun,Telephone,NO,,Legacy
20620,Nguyen,Dec-16,Dec,Meeting,NO,,Not Legacy
9628,Nguyen,Feb-16,Feb,email,NO,,Not Legacy
8959,Nguyen,Nov-30,Nov,Meeting,NO,,Not Legacy
10221,Sanchez,Dec-30,Dec,Meeting,NO,,Not Legacy
16789,Lydon,Feb-07,Feb,Meeting,NO,,Not Legacy
4539,Nguyen,Mar-27,Mar,Meeting,NO,,Not Legacy
3414,Lydon,Sep-25,Sep,Meeting,YES,"$6,600",Not Legacy
23339,Shalley,Jun-08,Jun,Meeting,NO,,Not Legacy
8540,Sanchez,May-27,May,Meeting,NO,,Not Legacy
20737,Nguyen,Oct-06,Oct,Meeting,YES,"$9,200",Not Legacy
22834,Lydon,Jun-09,Jun,Meeting,NO,,Not Legacy
11077,Lydon,May-07,May,Meeting,NO,,Not Legacy
16325,Nguyen,Feb-15,Feb,email,NO,,Not Legacy
19493,Lydon,May-24,May,email,NO,,Not Legacy
18313,Lydon,Jan-29,Jan,email,NO,,Not Legacy
10284,Sanchez,Apr-25,Apr,Telephone,NO,,Not Legacy
674,Shalley,Sep-24,Sep,email,NO,,Not Legacy
19038,Nguyen,Aug-20,Aug,email,NO,,Not Legacy
24386,Lydon,Feb-15,Feb,Telephone,NO,,Not Legacy
22666,Nguyen,Oct-15,Oct,Telephone,NO,,Not Legacy
8896,Lydon,Jul-15,Jul,Meeting,YES,"$5,000",Not Legacy
13015,Shalley,Nov-01,Nov,Meeting,NO,,Not Legacy
11654,Sanchez,Feb-10,Feb,email,NO,,Not Legacy
6204,Lydon,Dec-14,Dec,Telephone,NO,,Not Legacy
13741,Shalley,Feb-23,Feb,Meeting,YES,"$2,800",Not Legacy
18032,Nguyen,Jul-21,Jul,email,NO,,Not Legacy
8140,Sanchez,Sep-20,Sep,Meeting,NO,,Legacy
23745,Shalley,Jun-05,Jun,email,NO,,Not Legacy
21143,Shalley,May-27,May,email,NO,,Legacy
19170,Shalley,Oct-06,Oct,Meeting,NO,,Not Legacy
24791,Nguyen,May-03,May,email,NO,,Not Legacy
13420,Nguyen,Oct-26,Oct,Meeting,NO,,Not Legacy
8682,Nguyen,Dec-20,Dec,Meeting,NO,,Not Legacy
24187,Sanchez,Dec-22,Dec,Meeting,YES,"$9,800",Not Legacy
18333,Shalley,Jul-27,Jul,Telephone,NO,,Not Legacy
8413,Sanchez,Jul-22,Jul,email,NO,,Not Legacy
14940,Lydon,Sep-17,Sep,Meeting,NO,,Not Legacy
11952,Shalley,Nov-12,Nov,Meeting,NO,,Not Legacy
6325,Sanchez,Apr-01,Apr,Telephone,NO,,Not Legacy
23132,Lydon,Jul-03,Jul,email,NO,,Not Legacy
14517,Lydon,Apr-10,Apr,Meeting,NO,,Not Legacy
23423,Sanchez,Jul-12,Jul,Meeting,NO,,Not Legacy
3477,Shalley,Nov-03,Nov,Telephone,NO,,Not Legacy
18890,Lydon,Aug-26,Aug,Telephone,NO,,Not Legacy
7762,Sanchez,Sep-08,Sep,Meeting,YES,"$1,200",Not Legacy
16426,Lydon,Feb-19,Feb,Meeting,NO,,Not Legacy
1218,Shalley,May-08,May,email,NO,,Not Legacy
13931,Lydon,Dec-27,Dec,Telephone,NO,,Legacy
2785,Nguyen,Feb-03,Feb,email,YES,"$7,000",Not Legacy
24069,Nguyen,Nov-17,Nov,Meeting,NO,,Not Legacy
19580,Shalley,Jun-17,Jun,Telephone,NO,,Not Legacy
8751,Nguyen,Jan-17,Jan,email,NO,,Not Legacy
20642,Nguyen,Nov-23,Nov,Meeting,YES,"$5,200",Not Legacy
7267,Lydon,Oct-31,Oct,Telephone,NO,,Not Legacy
3800,Shalley,Mar-14,Mar,Meeting,YES,"$5,800",Not Legacy
3069,Nguyen,Mar-23,Mar,email,NO,,Not Legacy
20427,Nguyen,Jun-16,Jun,email,NO,,Not Legacy
10173,Lydon,Oct-22,Oct,Telephone,NO,,Not Legacy
22304,Shalley,Feb-16,Feb,Meeting,NO,,Not Legacy
11672,Sanchez,Oct-21,Oct,email,NO,,Not Legacy
2634,Sanchez,Oct-14,Oct,email,NO,,Not Legacy
20227,Shalley,Aug-02,Aug,email,NO,,Not Legacy
24293,Sanchez,Oct-02,Oct,email,NO,,Not Legacy
22316,Nguyen,May-18,May,Meeting,NO,,Not Legacy
14809,Sanchez,Aug-26,Aug,Telephone,NO,,Not Legacy
13685,Sanchez,Dec-28,Dec,Telephone,NO,,Not Legacy
3563,Nguyen,Jan-01,Jan,email,NO,,Not Legacy
18683,Lydon,Feb-10,Feb,Meeting,NO,,Not Legacy
2440,Nguyen,Apr-12,Apr,email,NO,,Not Legacy
17243,Lydon,Oct-16,Oct,Meeting,NO,,Not Legacy
19949,Shalley,Jul-22,Jul,email,NO,,Not Legacy
3834,Nguyen,Jan-15,Jan,email,NO,,Legacy
19663,Sanchez,Feb-17,Feb,email,NO,,Not Legacy
18526,Nguyen,Feb-28,Feb,Telephone,NO,,Not Legacy
23869,Shalley,Feb-27,Feb,email,NO,,Not Legacy
2791,Sanchez,Mar-12,Mar,Meeting,NO,,Legacy
14316,Shalley,Sep-17,Sep,email,NO,,Not Legacy
15965,Shalley,Sep-16,Sep,Meeting,NO,,Not Legacy
1490,Sanchez,May-18,May,email,NO,,Not Legacy
22061,Sanchez,Sep-02,Sep,Meeting,YES,"$2,200",Not Legacy
7324,Sanchez,Nov-18,Nov,Meeting,NO,,Not Legacy
23567,Nguyen,Mar-28,Mar,Meeting,NO,,Legacy
5691,Sanchez,Jan-05,Jan,Telephone,NO,,Not Legacy
8509,Nguyen,Sep-20,Sep,email,NO,,Not Legacy
14937,Shalley,Jun-24,Jun,email,NO,,Legacy
80,Nguyen,Apr-28,Apr,Meeting,YES,"$4,000",Legacy
6296,Shalley,Jun-29,Jun,email,NO,,Not Legacy
18738,Sanchez,Nov-16,Nov,Meeting,YES,"$5,000",Not Legacy
6655,Shalley,Aug-01,Aug,Meeting,NO,,Not Legacy
15919,Nguyen,Sep-08,Sep,email,NO,,Not Legacy
23520,Lydon,Nov-17,Nov,Meeting,NO,,Not Legacy
13390,Lydon,Sep-18,Sep,Telephone,NO,,Not Legacy
7616,Lydon,Jun-03,Jun,email,YES,"$9,400",Not Legacy
16458,Nguyen,Nov-19,Nov,Telephone,NO,,Not Legacy
8503,Lydon,May-13,May,Telephone,NO,,Legacy
2894,Lydon,Sep-22,Sep,email,NO,,Not Legacy
20363,Sanchez,Sep-28,Sep,Meeting,NO,,Legacy
23463,Sanchez,Jan-15,Jan,Meeting,NO,,Not Legacy
18973,Sanchez,Jul-12,Jul,email,NO,,Not Legacy
5050,Shalley,Apr-28,Apr,email,NO,,Not Legacy
18272,Nguyen,Oct-31,Oct,Meeting,NO,,Not Legacy
19919,Nguyen,Feb-18,Feb,Telephone,YES,"$9,000",Not Legacy
5062,Lydon,Jun-19,Jun,Telephone,NO,,Not Legacy
6824,Sanchez,May-15,May,email,NO,,Not Legacy
3898,Lydon,Jan-12,Jan,email,NO,,Not Legacy
5060,Lydon,Jan-02,Jan,Meeting,YES,"$5,400",Not Legacy
9140,Shalley,May-20,May,email,NO,,Not Legacy
18065,Shalley,Oct-05,Oct,Telephone,NO,,Not Legacy
9660,Nguyen,Jun-26,Jun,email,NO,,Not Legacy
790,Lydon,Sep-08,Sep,Meeting,NO,,Not Legacy
20029,Sanchez,Apr-11,Apr,Meeting,YES,"$7,800",Not Legacy
24896,Lydon,Apr-04,Apr,Meeting,NO,,Legacy
12541,Nguyen,May-03,May,Telephone,NO,,Legacy
19439,Lydon,Sep-16,Sep,email,NO,,Not Legacy
14665,Sanchez,Sep-03,Sep,Telephone,YES,"$4,800",Not Legacy
11385,Nguyen,Mar-06,Mar,Meeting,YES,$400,Not Legacy
18949,Lydon,Dec-01,Dec,Meeting,YES,"$4,800",Not Legacy
24701,Sanchez,Sep-01,Sep,email,NO,,Not Legacy
4471,Nguyen,Dec-12,Dec,Meeting,NO,,Not Legacy
1632,Nguyen,Jun-09,Jun,Telephone,NO,,Not Legacy
23632,Sanchez,Oct-30,Oct,email,NO,,Legacy
16057,Lydon,Oct-29,Oct,Meeting,YES,"$8,000",Not Legacy
529,Lydon,Nov-21,Nov,Meeting,NO,,Not Legacy
18413,Nguyen,Apr-04,Apr,email,NO,,Not Legacy
12593,Sanchez,Mar-16,Mar,email,NO,,Not Legacy
5421,Shalley,Sep-18,Sep,Meeting,NO,,Not Legacy
23497,Lydon,Apr-14,Apr,email,NO,,Not Legacy
19277,Sanchez,Aug-05,Aug,email,NO,,Not Legacy
16523,Shalley,May-22,May,Telephone,NO,,Not Legacy
19334,Sanchez,Dec-04,Dec,email,NO,,Not Legacy
24303,Sanchez,Nov-06,Nov,Meeting,NO,,Legacy
21184,Nguyen,Sep-16,Sep,Telephone,YES,"$9,400",Not Legacy
24835,Nguyen,Oct-02,Oct,Meeting,NO,,Not Legacy
19138,Lydon,Jul-29,Jul,Meeting,NO,,Not Legacy
8352,Sanchez,Dec-24,Dec,email,NO,,Not Legacy
2991,Lydon,Feb-14,Feb,Telephone,NO,,Not Legacy
21539,Nguyen,Nov-07,Nov,Meeting,NO,,Not Legacy
17833,Nguyen,Jun-04,Jun,email,NO,,Not Legacy
17278,Shalley,Aug-21,Aug,Meeting,NO,,Not Legacy
19346,Sanchez,Apr-20,Apr,Meeting,YES,"$9,400",Not Legacy
21508,Nguyen,Dec-15,Dec,email,YES,"$1,200",Not Legacy
10691,Shalley,Jul-22,Jul,email,NO,,Not Legacy
8799,Nguyen,Sep-03,Sep,Meeting,NO,,Not Legacy
18291,Sanchez,Sep-01,Sep,Telephone,NO,,Not Legacy
18793,Nguyen,Aug-19,Aug,Meeting,YES,"$4,000",Not Legacy
9402,Shalley,Mar-05,Mar,email,NO,,Not Legacy
20964,Shalley,Aug-25,Aug,email,NO,,Not Legacy
1298,Nguyen,Sep-28,Sep,email,NO,,Not Legacy
5271,Shalley,Sep-13,Sep,email,YES,"$8,200",Not Legacy
24256,Sanchez,Dec-20,Dec,Telephone,NO,,Not Legacy
10801,Nguyen,Aug-12,Aug,email,NO,,Not Legacy
24227,Shalley,Sep-28,Sep,email,NO,,Legacy
8265,Nguyen,Jul-29,Jul,email,NO,,Legacy
8950,Nguyen,Jan-03,Jan,Meeting,NO,,Not Legacy
15190,Nguyen,Jan-24,Jan,Meeting,NO,,Not Legacy
17054,Nguyen,Dec-17,Dec,Telephone,YES,"$1,400",Not Legacy
23376,Sanchez,Jul-23,Jul,Meeting,NO,,Not Legacy
19054,Nguyen,May-08,May,Meeting,NO,,Not Legacy
10482,Nguyen,Mar-04,Mar,Meeting,NO,,Not Legacy
5250,Nguyen,Aug-16,Aug,email,NO,,Not Legacy
20930,Shalley,Sep-24,Sep,email,NO,,Not Legacy
15768,Sanchez,Jun-09,Jun,Telephone,NO,,Not Legacy
17456,Shalley,Apr-23,Apr,email,NO,,Not Legacy
19991,Sanchez,Nov-28,Nov,Meeting,NO,,Not Legacy
18223,Nguyen,May-01,May,Meeting,NO,,Not Legacy
19951,Lydon,Jun-14,Jun,email,NO,,Not Legacy
20337,Nguyen,Jan-15,Jan,Telephone,NO,,Not Legacy
3219,Sanchez,Mar-17,Mar,Telephone,NO,,Not Legacy
21272,Shalley,Dec-17,Dec,email,NO,,Not Legacy
24695,Lydon,Aug-13,Aug,email,NO,,Legacy
20892,Shalley,Feb-21,Feb,email,NO,,Not Legacy
5048,Lydon,Sep-26,Sep,Meeting,NO,,Not Legacy
10487,Lydon,Oct-01,Oct,Telephone,NO,,Not Legacy
15999,Lydon,Sep-10,Sep,email,NO,,Not Legacy
2115,Shalley,Mar-26,Mar,email,NO,,Not Legacy
13879,Shalley,Jan-04,Jan,Telephone,NO,,Not Legacy
8316,Shalley,Feb-14,Feb,Meeting,YES,"$9,000",Not Legacy
6539,Sanchez,Jul-31,Jul,email,NO,,Not Legacy
14698,Nguyen,Jul-02,Jul,email,NO,,Not Legacy
23944,Shalley,Dec-14,Dec,email,NO,,Legacy
34,Lydon,Oct-19,Oct,Meeting,YES,"$1,400",Not Legacy
