sender,receiver,amount,timestamp,transaction_type,location,device_type,is_foreign_transaction,time_of_day,risk_score
U647,U1365,1130.04,2025-01-01,wire_transfer,France,ATM,1,3,0
U1798,U1307,807.62,2025-01-01,cash_deposit,Switzerland,desktop,0,14,0
U836,U2646,1059.75,2025-01-01,cash_deposit,Germany,desktop,0,23,0
U130,U2641,1846.86,2025-01-01,online_payment,UK,ATM,1,23,0
U900,U1078,17086.5,2025-01-01,cash_deposit,Germany,mobile,1,16,0
U1081,U1865,1358.46,2025-01-01,wire_transfer,Cayman Islands,desktop,0,21,0
U528,U1174,467.64,2025-01-01,cash_deposit,Dubai,ATM,1,6,0
U221,U74,355.5,2025-01-01,cash_deposit,US,desktop,0,10,0
U786,U1343,86.55,2025-01-01,crypto,Germany,desktop,1,8,0
U2505,U616,1636.59,2025-01-01,cash_deposit,Dubai,ATM,1,17,0
U1579,U2609,1573.04,2025-01-01,wire_transfer,Germany,ATM,1,0,0
U227,U879,459.41,2025-01-01,cash_deposit,Germany,ATM,0,20,0
U683,U1510,2377.05,2025-01-01,online_payment,Germany,desktop,1,22,0
U2971,U2027,2702.68,2025-01-01,online_payment,Cayman Islands,mobile,1,12,0
U2939,U1669,599.77,2025-01-01,crypto,US,mobile,0,15,0
U2705,U612,843.49,2025-01-01,wire_transfer,UK,desktop,0,22,0
U1242,U1141,9306.97,2025-01-01,crypto,UK,desktop,1,2,0
U2774,U1814,937.65,2025-01-01,online_payment,US,mobile,0,20,0
U1224,U233,2860.92,2025-01-01,crypto,France,desktop,1,21,0
U1666,U1578,1205.61,2025-01-01,online_payment,Germany,desktop,0,16,0
U2515,U1382,3153.41,2025-01-01,cash_deposit,France,ATM,1,3,0
U187,U848,2930.88,2025-01-01,cash_deposit,Cayman Islands,ATM,1,11,0
U853,U2046,2203.77,2025-01-01,online_payment,Dubai,mobile,1,3,0
U1907,U1268,3858.99,2025-01-01,wire_transfer,India,desktop,0,11,0
U2436,U566,5600.94,2025-01-01,wire_transfer,Germany,ATM,0,7,0
U2879,U1419,1734.92,2025-01-01,online_payment,US,desktop,0,4,0
U147,U2219,542.22,2025-01-01,wire_transfer,India,desktop,0,1,0
U2373,U2054,1017.09,2025-01-01,online_payment,Cayman Islands,desktop,1,6,0
U803,U1111,2840.16,2025-01-01,cash_deposit,India,mobile,1,3,0
U2873,U1895,2104.7,2025-01-01,cash_deposit,Germany,desktop,1,23,0
U1747,U2447,391.54,2025-01-01,crypto,Cayman Islands,mobile,0,0,0
U32,U1324,105.2,2025-01-01,crypto,Cayman Islands,desktop,1,5,0
U1603,U2665,2297.46,2025-01-01,crypto,India,ATM,1,17,0
U1780,U479,578.24,2025-01-01,crypto,India,desktop,1,2,0
U1287,U1204,1384.98,2025-01-01,wire_transfer,US,mobile,0,16,0
U2101,U10,2746.73,2025-01-01,wire_transfer,India,mobile,1,3,0
U2189,U2783,1654.12,2025-01-01,crypto,India,desktop,0,17,0
U2123,U3,173.96,2025-01-01,online_payment,Dubai,desktop,0,5,0
U1223,U826,410.56,2025-01-01,crypto,US,desktop,1,23,0
U1248,U2591,495.2,2025-01-01,crypto,Germany,mobile,0,0,0
U352,U712,596.45,2025-01-01,cash_deposit,UK,mobile,0,7,0
U1946,U71,1666.67,2025-01-01,online_payment,US,mobile,0,1,0
U644,U735,1402.22,2025-01-01,cash_deposit,Germany,desktop,0,3,0
U1616,U1614,454.2,2025-01-01,crypto,Germany,desktop,0,16,0
U78,U2105,139.89,2025-01-01,wire_transfer,India,desktop,1,23,0
U262,U1459,376.11,2025-01-01,crypto,France,desktop,0,23,0
U2053,U20,8318.57,2025-01-01,crypto,UK,mobile,1,6,0
U2167,U1931,1264.28,2025-01-01,wire_transfer,UK,desktop,1,19,0
U841,U449,4040.01,2025-01-01,cash_deposit,US,mobile,1,17,0
U1026,U2494,3777.67,2025-01-01,wire_transfer,Germany,ATM,0,6,0
U1977,U690,1432.91,2025-01-01,online_payment,India,desktop,0,11,0
U1417,U67,2453.03,2025-01-01,online_payment,Germany,ATM,1,4,0
U145,U1095,428.25,2025-01-01,online_payment,Switzerland,mobile,0,0,0
U365,U303,2332.05,2025-01-01,crypto,US,desktop,0,8,0
U1084,U2888,635.97,2025-01-01,cash_deposit,Germany,desktop,1,17,0
U2303,U1531,3568.32,2025-01-01,online_payment,UK,mobile,0,4,0
U1847,U884,174.88,2025-01-01,online_payment,Switzerland,desktop,1,3,0
U1638,U1988,2966.83,2025-01-01,cash_deposit,US,desktop,0,16,0
U0,U2512,210.58,2025-01-01,online_payment,US,mobile,0,20,0
U326,U1522,4260.45,2025-01-01,wire_transfer,US,desktop,0,23,0
U1841,U697,725.4,2025-01-01,online_payment,India,mobile,0,15,0
U2850,U2149,2124.91,2025-01-01,crypto,Germany,mobile,0,9,0
U742,U940,1336.92,2025-01-01,crypto,Germany,ATM,0,1,0
U2399,U2606,912.37,2025-01-01,online_payment,US,ATM,0,22,0
U746,U1581,2073.77,2025-01-01,crypto,UK,mobile,0,8,0
U524,U791,5894.76,2025-01-01,online_payment,India,ATM,0,13,0
U2947,U607,84.29,2025-01-01,crypto,France,ATM,0,15,0
U230,U73,5022.98,2025-01-01,online_payment,Switzerland,mobile,1,6,0
U2343,U1973,1878.51,2025-01-01,crypto,India,mobile,0,14,0
U2339,U775,3293.39,2025-01-01,cash_deposit,Switzerland,mobile,0,15,0
U1407,U627,968.61,2025-01-01,crypto,Dubai,desktop,1,16,0
U2083,U2172,1276.72,2025-01-01,online_payment,UK,desktop,0,22,0
U1629,U1380,4062.84,2025-01-01,crypto,France,desktop,1,19,0
U1923,U218,1071.77,2025-01-01,crypto,Germany,ATM,1,23,0
U199,U1099,1529.97,2025-01-01,cash_deposit,Switzerland,desktop,1,10,0
U2332,U2865,40.8,2025-01-01,cash_deposit,France,desktop,1,18,0
U536,U254,345.37,2025-01-01,cash_deposit,Cayman Islands,desktop,0,22,0
U622,U2895,2052.69,2025-01-01,wire_transfer,US,desktop,1,15,0
U2339,U262,2524.45,2025-01-01,crypto,Switzerland,desktop,0,15,0
U254,U364,1747.43,2025-01-01,crypto,Switzerland,mobile,1,7,0
U123,U7,309.36,2025-01-01,cash_deposit,Switzerland,desktop,0,5,0
U2486,U1824,1179.04,2025-01-01,crypto,US,desktop,1,7,0
U1453,U2741,877.3,2025-01-01,cash_deposit,Germany,desktop,0,20,0
U1558,U2272,1369.01,2025-01-01,crypto,UK,mobile,0,17,0
U1452,U390,4085.51,2025-01-01,online_payment,Switzerland,mobile,0,16,0
U1080,U2367,2990.98,2025-01-01,crypto,India,mobile,0,9,0
U1517,U1971,175.45,2025-01-01,wire_transfer,UK,desktop,1,10,0
U2784,U2823,4420.18,2025-01-01,crypto,India,mobile,0,15,0
U1161,U1945,1276.44,2025-01-01,cash_deposit,Cayman Islands,desktop,0,0,0
U2390,U1514,2724.08,2025-01-01,crypto,Dubai,desktop,0,21,0
U985,U2258,301.74,2025-01-01,wire_transfer,US,ATM,1,13,0
U974,U1056,2221.69,2025-01-01,online_payment,India,ATM,0,17,0
U628,U2283,539.23,2025-01-01,crypto,Cayman Islands,ATM,1,17,0
U1498,U1244,1153.86,2025-01-01,cash_deposit,Cayman Islands,desktop,0,9,0
U446,U1289,34.01,2025-01-01,online_payment,US,desktop,0,12,0
U162,U1638,328.83,2025-01-01,online_payment,Germany,desktop,1,19,0
U2836,U928,193.2,2025-01-01,crypto,France,mobile,0,0,0
U1349,U2461,548.2,2025-01-01,wire_transfer,India,desktop,1,1,0
U2072,U2831,210.76,2025-01-01,cash_deposit,US,ATM,1,6,0
U1084,U2023,2354.73,2025-01-01,cash_deposit,Dubai,ATM,1,18,0
U1984,U2112,58.94,2025-01-01,crypto,Switzerland,ATM,1,4,0
U1211,U1325,1923.31,2025-01-01,crypto,UK,ATM,1,1,0
U2365,U479,303.29,2025-01-01,online_payment,UK,desktop,1,5,0
U1803,U141,5806.72,2025-01-01,crypto,France,ATM,1,8,0
U2570,U2413,5408.94,2025-01-01,crypto,Cayman Islands,mobile,0,13,0
U574,U610,511.08,2025-01-01,online_payment,Dubai,desktop,1,1,0
U1788,U809,1906.02,2025-01-01,online_payment,France,mobile,1,11,0
U1077,U2354,56.81,2025-01-01,wire_transfer,India,mobile,1,11,0
U2076,U2970,5370.29,2025-01-01,online_payment,Germany,mobile,0,6,0
U2540,U1592,1480.42,2025-01-01,online_payment,Dubai,desktop,0,8,0
U2758,U2562,88.37,2025-01-01,wire_transfer,India,desktop,1,2,0
U2039,U2683,838.62,2025-01-01,wire_transfer,UK,desktop,1,10,0
U694,U1977,159.93,2025-01-01,crypto,Cayman Islands,mobile,0,2,0
U920,U848,998.27,2025-01-01,cash_deposit,France,ATM,1,18,0
U1220,U1575,2216.88,2025-01-01,cash_deposit,Cayman Islands,ATM,1,8,0
U1491,U211,1269.34,2025-01-01,wire_transfer,India,mobile,0,14,0
U1851,U2834,968.11,2025-01-01,online_payment,Dubai,desktop,0,1,0
U21,U956,253.75,2025-01-01,cash_deposit,India,ATM,0,3,0
U1288,U523,561.91,2025-01-01,crypto,Switzerland,desktop,1,1,0
U2280,U2591,211.04,2025-01-01,cash_deposit,UK,mobile,1,15,0
U632,U1175,3295.31,2025-01-01,wire_transfer,France,mobile,1,22,0
U2707,U2662,290.61,2025-01-01,cash_deposit,Switzerland,desktop,1,16,0
U1808,U1206,1809.58,2025-01-01,online_payment,Switzerland,ATM,1,2,0
U2313,U987,839.35,2025-01-01,crypto,Switzerland,mobile,0,14,0
U895,U319,512.31,2025-01-01,wire_transfer,Germany,ATM,0,20,0
U2349,U2252,2040.35,2025-01-01,crypto,US,ATM,1,3,0
U1666,U2472,1221.3,2025-01-01,crypto,Dubai,desktop,1,0,0
U2069,U1767,1022.14,2025-01-01,crypto,Germany,ATM,1,12,0
U2033,U1350,1797.16,2025-01-01,cash_deposit,France,mobile,1,22,0
U1157,U1014,1351.67,2025-01-01,online_payment,Germany,desktop,0,8,0
U495,U2578,723.33,2025-01-01,online_payment,Germany,mobile,0,17,0
U991,U79,1637.7,2025-01-01,cash_deposit,Switzerland,desktop,0,16,0
U2057,U1372,2214.29,2025-01-01,crypto,Dubai,ATM,0,16,0
U2597,U435,54.11,2025-01-01,cash_deposit,Switzerland,mobile,0,20,0
U1208,U2609,1254.24,2025-01-01,wire_transfer,Germany,mobile,1,8,0
U2902,U1711,118.83,2025-01-01,online_payment,Dubai,mobile,0,8,0
U2693,U613,412.59,2025-01-01,online_payment,Germany,desktop,0,19,0
U2755,U740,1644.27,2025-01-01,crypto,India,mobile,0,5,0
U2836,U1890,4022.65,2025-01-01,wire_transfer,UK,desktop,0,6,0
U2975,U1421,4287.84,2025-01-01,online_payment,UK,desktop,0,17,0
U250,U736,145.02,2025-01-01,wire_transfer,Cayman Islands,ATM,1,0,0
U1374,U2110,1086.37,2025-01-01,crypto,Dubai,ATM,0,8,0
U55,U1069,1749.37,2025-01-01,wire_transfer,Switzerland,ATM,0,11,0
U1655,U978,318.16,2025-01-01,wire_transfer,India,mobile,0,9,0
U1489,U1495,2900.02,2025-01-01,crypto,Cayman Islands,mobile,1,10,0
U1139,U1598,2726.99,2025-01-01,wire_transfer,Switzerland,desktop,0,13,0
U2060,U2242,4673.13,2025-01-01,crypto,France,desktop,1,16,0
U37,U2346,17.04,2025-01-01,online_payment,Switzerland,mobile,0,18,0
U1293,U1641,488.44,2025-01-01,online_payment,Cayman Islands,desktop,0,20,0
U823,U1813,3511.09,2025-01-01,online_payment,India,ATM,1,16,0
U2377,U466,2220.84,2025-01-01,crypto,France,ATM,0,0,0
U1962,U1230,4496.0,2025-01-01,online_payment,Germany,ATM,1,18,0
U430,U500,117.76,2025-01-01,wire_transfer,Cayman Islands,mobile,1,20,0
U2197,U879,1817.46,2025-01-01,cash_deposit,Dubai,desktop,1,12,0
U792,U434,1683.51,2025-01-01,online_payment,UK,ATM,1,8,0
U2649,U209,72.65,2025-01-01,cash_deposit,France,desktop,1,14,0
U137,U2835,1441.13,2025-01-01,cash_deposit,UK,desktop,0,0,0
U1632,U365,1880.76,2025-01-01,crypto,Cayman Islands,mobile,0,12,0
U252,U1281,424.64,2025-01-01,online_payment,France,desktop,0,22,0
U724,U261,638.56,2025-01-01,cash_deposit,Cayman Islands,mobile,1,10,0
U2000,U2860,2045.23,2025-01-01,cash_deposit,Switzerland,mobile,1,13,0
U133,U1964,1263.36,2025-01-01,crypto,Dubai,desktop,0,3,0
U2075,U2209,3904.05,2025-01-01,crypto,India,mobile,0,10,0
U501,U738,838.26,2025-01-01,cash_deposit,France,mobile,0,0,0
U1641,U2618,620.29,2025-01-01,wire_transfer,India,ATM,0,14,0
U950,U1950,8381.61,2025-01-01,wire_transfer,India,ATM,1,22,0
U757,U465,4841.29,2025-01-01,cash_deposit,US,mobile,0,19,0
U695,U262,58.84,2025-01-01,wire_transfer,Germany,ATM,0,22,0
U1064,U2101,2945.7,2025-01-01,online_payment,France,ATM,1,10,0
U1808,U2785,233.82,2025-01-01,online_payment,Cayman Islands,desktop,0,20,0
U1858,U735,55.74,2025-01-01,cash_deposit,India,mobile,0,10,0
U2948,U719,639.57,2025-01-01,wire_transfer,UK,ATM,0,23,0
U2847,U1620,627.63,2025-01-01,online_payment,France,desktop,1,11,0
U1115,U14,3422.04,2025-01-01,wire_transfer,US,desktop,0,16,0
U1616,U1352,2480.36,2025-01-01,crypto,Switzerland,ATM,1,2,0
U2256,U1760,7991.83,2025-01-01,wire_transfer,Cayman Islands,mobile,0,1,0
U2550,U7,2486.21,2025-01-01,cash_deposit,India,ATM,0,7,0
U1688,U2790,1083.45,2025-01-01,cash_deposit,Switzerland,desktop,1,10,0
U1677,U1623,2400.81,2025-01-01,online_payment,France,mobile,0,22,0
U2263,U38,15044.43,2025-01-01,crypto,Cayman Islands,desktop,0,14,0
U851,U417,2476.73,2025-01-01,online_payment,Dubai,desktop,1,10,0
U511,U2774,2868.29,2025-01-01,cash_deposit,Switzerland,desktop,1,0,0
U2860,U1617,5573.05,2025-01-01,crypto,Cayman Islands,ATM,0,1,0
U1100,U2239,241.29,2025-01-01,crypto,US,mobile,1,23,0
U1174,U1424,2440.1,2025-01-01,cash_deposit,Switzerland,ATM,1,12,0
U730,U1739,3805.02,2025-01-01,cash_deposit,Dubai,mobile,0,3,0
U756,U851,6174.76,2025-01-01,wire_transfer,Cayman Islands,ATM,1,12,0
U661,U1628,473.9,2025-01-01,online_payment,Cayman Islands,desktop,0,22,0
U1597,U84,1402.07,2025-01-01,online_payment,India,ATM,1,20,0
U566,U490,2282.34,2025-01-01,online_payment,Switzerland,desktop,1,21,0
U109,U2887,568.62,2025-01-01,wire_transfer,Germany,desktop,0,20,0
U2894,U338,1834.95,2025-01-01,crypto,France,ATM,1,15,0
U708,U2028,595.68,2025-01-01,wire_transfer,India,mobile,1,17,0
U1262,U253,811.3,2025-01-01,online_payment,UK,desktop,1,21,0
U782,U1737,1165.07,2025-01-01,crypto,Cayman Islands,desktop,0,19,0
U2786,U169,1506.6,2025-01-01,online_payment,Germany,ATM,0,12,0
U56,U139,1193.37,2025-01-01,online_payment,Cayman Islands,mobile,0,13,0
U2066,U44,1359.26,2025-01-01,crypto,UK,desktop,0,7,0
U2646,U1911,709.32,2025-01-01,cash_deposit,Germany,desktop,0,20,0
U635,U1744,346.24,2025-01-01,cash_deposit,US,desktop,0,14,0
U2385,U2243,97.02,2025-01-01,crypto,US,ATM,1,6,0
U1008,U390,436.26,2025-01-01,cash_deposit,US,desktop,1,19,0
U697,U1711,1744.28,2025-01-01,cash_deposit,Germany,mobile,1,2,0
U715,U304,3084.64,2025-01-01,wire_transfer,France,ATM,1,3,0
U654,U1845,370.85,2025-01-01,wire_transfer,France,ATM,1,23,0
U453,U2942,229.82,2025-01-01,cash_deposit,France,ATM,1,16,0
U1849,U391,2766.92,2025-01-01,crypto,India,ATM,0,22,0
U2181,U797,728.14,2025-01-01,online_payment,Cayman Islands,ATM,1,20,0
U351,U862,6052.36,2025-01-01,cash_deposit,Cayman Islands,desktop,0,4,0
U1523,U2038,2505.75,2025-01-01,online_payment,Cayman Islands,mobile,0,23,0
U1903,U1138,791.3,2025-01-01,cash_deposit,UK,desktop,0,5,0
U930,U2570,683.69,2025-01-01,cash_deposit,Dubai,mobile,0,10,0
U1893,U1036,1483.41,2025-01-01,wire_transfer,Dubai,ATM,0,21,0
U726,U348,164.9,2025-01-01,cash_deposit,India,desktop,0,18,0
U2275,U1958,250.39,2025-01-01,cash_deposit,UK,ATM,0,13,0
U468,U2487,386.82,2025-01-01,wire_transfer,Cayman Islands,mobile,1,18,0
U2301,U392,2980.85,2025-01-01,cash_deposit,Dubai,mobile,0,13,0
U2407,U1393,1442.51,2025-01-01,online_payment,Germany,desktop,0,9,0
U1617,U1423,21.25,2025-01-01,crypto,Switzerland,ATM,1,7,0
U308,U1793,2238.75,2025-01-01,online_payment,Dubai,ATM,0,16,0
U354,U953,1102.22,2025-01-01,wire_transfer,Switzerland,mobile,0,2,0
U722,U1681,1430.18,2025-01-01,crypto,India,mobile,0,22,0
U450,U2356,481.89,2025-01-01,online_payment,Switzerland,ATM,0,1,0
U1412,U2747,1604.95,2025-01-01,online_payment,India,ATM,1,11,0
U993,U402,7741.11,2025-01-01,wire_transfer,US,mobile,0,6,0
U1646,U1612,152.56,2025-01-01,cash_deposit,US,desktop,1,3,0
U2528,U2712,667.92,2025-01-01,crypto,Dubai,desktop,0,3,0
U2174,U1974,556.78,2025-01-01,online_payment,UK,mobile,0,6,0
U758,U1796,571.5,2025-01-01,cash_deposit,Germany,mobile,0,13,0
U653,U1669,951.9,2025-01-01,wire_transfer,Germany,desktop,0,9,0
U83,U2050,3408.7,2025-01-01,crypto,Switzerland,mobile,0,21,0
U1647,U2752,4880.45,2025-01-01,crypto,India,ATM,1,4,0
U1252,U2412,451.83,2025-01-01,cash_deposit,US,desktop,1,6,0
U45,U578,1565.92,2025-01-01,wire_transfer,France,mobile,0,21,0
U1385,U1238,2026.15,2025-01-01,wire_transfer,France,ATM,0,16,0
U1453,U127,1475.57,2025-01-01,crypto,Dubai,ATM,1,0,0
U780,U1318,1138.59,2025-01-01,cash_deposit,UK,desktop,1,10,0
U461,U1071,426.33,2025-01-01,wire_transfer,India,desktop,1,10,0
U2610,U844,1339.72,2025-01-01,online_payment,Switzerland,mobile,0,13,0
U1940,U1873,1025.7,2025-01-01,crypto,France,mobile,1,12,0
U1496,U1409,3174.99,2025-01-01,online_payment,Germany,mobile,0,12,0
U392,U770,2884.5,2025-01-01,online_payment,UK,desktop,1,0,0
U1013,U638,287.74,2025-01-01,cash_deposit,Dubai,ATM,0,11,0
U1890,U104,185.37,2025-01-01,wire_transfer,US,desktop,0,3,0
U1761,U2367,4775.28,2025-01-01,wire_transfer,Dubai,desktop,0,17,0
