GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AFR,Africa,,,2000,2000,,,TCD,Chad,,YEARS0-4,0-4 years,,,,,,,,CH7,Meningitis/encephalitis,,0,0.04809,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AFR,Africa,,,2000,2000,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH10,Prematurity,,0.3,0.27969,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AFR,Africa,,,2000,2000,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH11,Birth asphyxia and birth trauma,,0.3,0.31783,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AFR,Africa,,,2000,2000,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH12,Sepsis and other infectious conditions of the newborn,,0.1,0.11148,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AFR,Africa,,,2000,2000,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH13,Other Group 1 (postneonatal only),,0,0.03804,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AFR,Africa,,,2000,2000,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH15,Congenital anomalies,,0.1,0.05936,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AFR,Africa,,,2000,2000,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH16,Other noncommunicable diseases (postneonatal only),,0,0.00051,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,AFR,Africa,,,2000,2000,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH17,Injuries,,0,0.00648,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AFR,Africa,,,2001,2001,,,TCD,Chad,,MONTHS1-59,1-59 months,,,,,,,,CH5,Tetanus,,0,0.00025,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AFR,Africa,,,2001,2001,,,TCD,Chad,,MONTHS1-59,1-59 months,,,,,,,,CH6,Measles,,0.1,0.10860,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AFR,Africa,,,2001,2001,,,TCD,Chad,,MONTHS1-59,1-59 months,,,,,,,,CH7,Meningitis/encephalitis,,0.1,0.08267,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AFR,Africa,,,2001,2001,,,TCD,Chad,,MONTHS1-59,1-59 months,,,,,,,,CH8,Malaria,,0.1,0.10163,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AFR,Africa,,,2001,2001,,,TCD,Chad,,MONTHS1-59,1-59 months,,,,,,,,CH9,Acute lower respiratory infections,,0.2,0.24205,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AFR,Africa,,,2001,2001,,,TCD,Chad,,MONTHS1-59,1-59 months,,,,,,,,CH10,Prematurity,,0,0.01640,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AFR,Africa,,,2001,2001,,,TCD,Chad,,YEARS0-4,0-4 years,,,,,,,,CH13,Other Group 1 (postneonatal only),,0.1,0.07719,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AFR,Africa,,,2001,2001,,,TCD,Chad,,YEARS0-4,0-4 years,,,,,,,,CH15,Congenital anomalies,,0,0.03158,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AFR,Africa,,,2001,2001,,,TCD,Chad,,YEARS0-4,0-4 years,,,,,,,,CH16,Other noncommunicable diseases (postneonatal only),,0,0.02377,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,AFR,Africa,,,2001,2001,,,TCD,Chad,,YEARS0-4,0-4 years,,,,,,,,CH17,Injuries,,0,0.03620,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AFR,Africa,,,2002,2002,,,TCD,Chad,,YEARS0-4,0-4 years,,,,,,,,CH2,HIV/AIDS,,0,0.01763,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AFR,Africa,,,2002,2002,,,TCD,Chad,,YEARS0-4,0-4 years,,,,,,,,CH3,Diarrhoeal diseases,,0.2,0.17300,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AFR,Africa,,,2002,2002,,,TCD,Chad,,YEARS0-4,0-4 years,,,,,,,,CH5,Tetanus,,0,0.01591,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AFR,Africa,,,2002,2002,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH8,Malaria,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AFR,Africa,,,2002,2002,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH9,Acute lower respiratory infections,,0.1,0.08252,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AFR,Africa,,,2002,2002,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH10,Prematurity,,0.3,0.28187,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AFR,Africa,,,2002,2002,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH11,Birth asphyxia and birth trauma,,0.3,0.31819,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AFR,Africa,,,2002,2002,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH12,Sepsis and other infectious conditions of the newborn,,0.1,0.12019,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AFR,Africa,,,2002,2002,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH13,Other Group 1 (postneonatal only),,0,0.03970,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,AFR,Africa,,,2002,2002,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH15,Congenital anomalies,,0.1,0.05745,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AFR,Africa,,,2003,2003,,,TCD,Chad,,MONTHS1-59,1-59 months,,,,,,,,CH2,HIV/AIDS,,0,0.02367,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AFR,Africa,,,2003,2003,,,TCD,Chad,,MONTHS1-59,1-59 months,,,,,,,,CH3,Diarrhoeal diseases,,0.2,0.21769,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AFR,Africa,,,2003,2003,,,TCD,Chad,,MONTHS1-59,1-59 months,,,,,,,,CH5,Tetanus,,0,0.00025,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AFR,Africa,,,2003,2003,,,TCD,Chad,,MONTHS1-59,1-59 months,,,,,,,,CH6,Measles,,0.1,0.07162,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AFR,Africa,,,2003,2003,,,TCD,Chad,,MONTHS1-59,1-59 months,,,,,,,,CH7,Meningitis/encephalitis,,0.1,0.08463,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AFR,Africa,,,2003,2003,,,TCD,Chad,,MONTHS1-59,1-59 months,,,,,,,,CH8,Malaria,,0.1,0.11189,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AFR,Africa,,,2003,2003,,,TCD,Chad,,YEARS0-4,0-4 years,,,,,,,,CH11,Birth asphyxia and birth trauma,,0.1,0.08966,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AFR,Africa,,,2003,2003,,,TCD,Chad,,YEARS0-4,0-4 years,,,,,,,,CH12,Sepsis and other infectious conditions of the newborn,,0,0.03036,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AFR,Africa,,,2003,2003,,,TCD,Chad,,YEARS0-4,0-4 years,,,,,,,,CH13,Other Group 1 (postneonatal only),,0.1,0.08182,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AFR,Africa,,,2003,2003,,,TCD,Chad,,YEARS0-4,0-4 years,,,,,,,,CH15,Congenital anomalies,,0,0.03237,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AFR,Africa,,,2003,2003,,,TCD,Chad,,YEARS0-4,0-4 years,,,,,,,,CH16,Other noncommunicable diseases (postneonatal only),,0,0.02526,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2003,2003,,AFR,Africa,,,2003,2003,,,TCD,Chad,,YEARS0-4,0-4 years,,,,,,,,CH17,Injuries,,0,0.03905,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,TCD,Chad,,YEARS0-4,0-4 years,,,,,,,,CH2,HIV/AIDS,,0,0.01685,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH6,Measles,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH7,Meningitis/encephalitis,,0,0.01954,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH8,Malaria,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH9,Acute lower respiratory infections,,0.1,0.08432,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH10,Prematurity,,0.3,0.28197,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH11,Birth asphyxia and birth trauma,,0.3,0.31749,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH12,Sepsis and other infectious conditions of the newborn,,0.1,0.12747,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,TCD,Chad,,MONTHS1-59,1-59 months,,,,,,,,CH16,Other noncommunicable diseases (postneonatal only),,0,0.03245,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,TCD,Chad,,MONTHS1-59,1-59 months,,,,,,,,CH17,Injuries,,0,0.04876,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AFR,Africa,,,2005,2005,,,TCD,Chad,,MONTHS1-59,1-59 months,,,,,,,,CH2,HIV/AIDS,,0,0.02175,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AFR,Africa,,,2005,2005,,,TCD,Chad,,MONTHS1-59,1-59 months,,,,,,,,CH3,Diarrhoeal diseases,,0.2,0.20935,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AFR,Africa,,,2005,2005,,,TCD,Chad,,MONTHS1-59,1-59 months,,,,,,,,CH5,Tetanus,,0,0.00024,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AFR,Africa,,,2005,2005,,,TCD,Chad,,MONTHS1-59,1-59 months,,,,,,,,CH6,Measles,,0,0.04775,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AFR,Africa,,,2005,2005,,,TCD,Chad,,YEARS0-4,0-4 years,,,,,,,,CH9,Acute lower respiratory infections,,0.2,0.21910,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AFR,Africa,,,2005,2005,,,TCD,Chad,,YEARS0-4,0-4 years,,,,,,,,CH10,Prematurity,,0.1,0.08394,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AFR,Africa,,,2005,2005,,,TCD,Chad,,YEARS0-4,0-4 years,,,,,,,,CH11,Birth asphyxia and birth trauma,,0.1,0.09000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AFR,Africa,,,2005,2005,,,TCD,Chad,,YEARS0-4,0-4 years,,,,,,,,CH12,Sepsis and other infectious conditions of the newborn,,0,0.03216,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AFR,Africa,,,2005,2005,,,TCD,Chad,,YEARS0-4,0-4 years,,,,,,,,CH13,Other Group 1 (postneonatal only),,0.1,0.08465,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AFR,Africa,,,2005,2005,,,TCD,Chad,,YEARS0-4,0-4 years,,,,,,,,CH15,Congenital anomalies,,0,0.03318,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2005,2005,,AFR,Africa,,,2005,2005,,,TCD,Chad,,YEARS0-4,0-4 years,,,,,,,,CH16,Other noncommunicable diseases (postneonatal only),,0,0.02615,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2006,2006,,AFR,Africa,,,2006,2006,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH3,Diarrhoeal diseases,,0,0.00994,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2006,2006,,AFR,Africa,,,2006,2006,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH5,Tetanus,,0,0.04750,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2006,2006,,AFR,Africa,,,2006,2006,,,TCD,Chad,,DAYS0-27,0-27 days,,,,,,,,CH6,Measles,,0,0.00000,,,,,
